FuelTypeDesc,FuelTypeFBP,FuelType,BaseFuel,minAge,maxAge,Species,negSwitch
C2 - Boreal spruce,C2,2,Conifer,0,1000,abiebals,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,abielasi,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,larilyal,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,lariocci,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,piceenge,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,piceglau,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,picemari,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pinualbi,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pinubank,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pinuconcon,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pinuflex,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pinupond,1
C2 - Boreal spruce,C2,2,Conifer,0,1000,pseumenz,1
C3 - Mature jack/lodgepole pine,C3,3,Conifer,60,1000,pinualbi,1
C3 - Mature jack/lodgepole pine,C3,3,Conifer,60,1000,pinubank,1
C3 - Mature jack/lodgepole pine,C3,3,Conifer,60,1000,pinuconcon,1
C3 - Mature jack/lodgepole pine,C3,3,Conifer,60,1000,pinuflex,1
C4 - Immature jack/lodgepole pine,C4,4,Conifer,0,60,pinualbi,1
C4 - Immature jack/lodgepole pine,C4,4,Conifer,0,60,pinubank,1
C4 - Immature jack/lodgepole pine,C4,4,Conifer,0,60,pinuconcon,1
C4 - Immature jack/lodgepole pine,C4,4,Conifer,0,60,pinuflex,1
C7 - Ponderosa pine/Douglas-fir,C7,7,Conifer,40,1000,pinupond,1
C7 - Ponderosa pine/Douglas-fir,C7,7,Conifer,40,1000,pseumenz,1
C7 - Ponderosa pine/Douglas-fir,C7,7,Conifer,50,1000,lariocci,1
D1 - Green Aspen,D2,9,Deciduous,0,1000,betupapy,1
D1 - Green Aspen,D2,9,Deciduous,0,1000,betualle,1
D1 - Green Aspen,D2,9,Deciduous,0,1000,popudelt,1
D1 - Green Aspen,D2,9,Deciduous,0,1000,poputrem,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,betupapy,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,betualle,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,popudelt,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,poputrem,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,abiebals,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,abielasi,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,larilyal,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,lariocci,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,piceenge,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,piceglau,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,picemari,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pinualbi,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pinubank,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pinuconcon,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pinuflex,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pinupond,1
M1 - Boreal mixedwood - leafless,M2,11,Mixed,0,1000,pseumenz,1
O1 - Grassland,O1,16,Open,0,15,betupapy,1
O1 - Grassland,O1,16,Open,0,15,betualle,1
O1 - Grassland,O1,16,Open,0,15,popudelt,1
O1 - Grassland,O1,16,Open,0,15,poputrem,1
O1 - Grassland,O1,16,Open,0,15,abiebals,1
O1 - Grassland,O1,16,Open,0,15,abielasi,1
O1 - Grassland,O1,16,Open,0,15,larilyal,1
O1 - Grassland,O1,16,Open,0,15,lariocci,1
O1 - Grassland,O1,16,Open,0,15,piceenge,1
O1 - Grassland,O1,16,Open,0,15,piceglau,1
O1 - Grassland,O1,16,Open,0,15,picemari,1
O1 - Grassland,O1,16,Open,0,15,pinualbi,1
O1 - Grassland,O1,16,Open,0,15,pinubank,1
O1 - Grassland,O1,16,Open,0,15,pinuconcon,1
O1 - Grassland,O1,16,Open,0,15,pinuflex,1
O1 - Grassland,O1,16,Open,0,15,pinupond,1
O1 - Grassland,O1,16,Open,0,15,pseumenz,1
